filename,annot.clip,rec_type,language,age_mo_round,prop.is.cx,prop.is.ma,prop.is.fa
e20170707_092123_013098.its,annotated-9240000_9300000-5,LENA,Tsimane',32,0,1,0.5
e20170709_154406_009458.its,annotated-11040000_11100000-6,LENA,Tsimane',31,1,0,0
e20170709_154406_009458.its,annotated-12840000_12900000-7,LENA,Tsimane',31,1,0,1
e20170709_154406_009458.its,annotated-18240000_18300000-10,LENA,Tsimane',31,1,0,0.5
e20170709_154406_009458.its,annotated-21840000_21900000-12,LENA,Tsimane',31,0,0,1
e20170709_154406_009458.its,annotated-27240000_27300000-15,LENA,Tsimane',31,0.6666666666666666,0,0.6666666666666666
e20170709_154406_009458.its,annotated-3840000_3900000-2,LENA,Tsimane',31,0.75,0,0.25
e20170709_154812_013104.its,annotated-11040000_11100000-6,LENA,Tsimane',35,1,0,1
e20170709_154812_013104.its,annotated-12840000_12900000-7,LENA,Tsimane',35,0.6666666666666666,0,0.6666666666666666
e20170709_154812_013104.its,annotated-14640000_14700000-8,LENA,Tsimane',35,0.5,0,0.5
e20170709_154812_013104.its,annotated-16440000_16500000-9,LENA,Tsimane',35,0.5,0.5,0.5
e20170709_154812_013104.its,annotated-18240000_18300000-10,LENA,Tsimane',35,0.5,0,0.5
e20170709_154812_013104.its,annotated-2040000_2100000-1,LENA,Tsimane',35,1,0,1
e20170709_154812_013104.its,annotated-25440000_25500000-14,LENA,Tsimane',35,1,0,0
e20170709_154812_013104.its,annotated-27240000_27300000-15,LENA,Tsimane',35,1,0,0.6666666666666666
e20170709_154812_013104.its,annotated-29040000_29100000-16,LENA,Tsimane',35,1,0,0
e20170709_154812_013104.its,annotated-30840000_30900000-17,LENA,Tsimane',35,0,0,1
e20170709_154812_013104.its,annotated-34440000_34500000-19,LENA,Tsimane',35,1,0,0
e20170709_154812_013104.its,annotated-3840000_3900000-2,LENA,Tsimane',35,0.5,0.5,0.5
e20170709_154812_013104.its,annotated-7440000_7500000-4,LENA,Tsimane',35,0,0,1
e20170709_154812_013104.its,annotated-9240000_9300000-5,LENA,Tsimane',35,1,0,0.5
e20170713_094014_013103.its,annotated-14640000_14700000-8,LENA,Tsimane',38,1,0,0
e20170713_094014_013103.its,annotated-20040000_20100000-11,LENA,Tsimane',38,0,0,1
e20170713_094014_013103.its,annotated-2040000_2100000-1,LENA,Tsimane',38,1,0,0
e20170713_094014_013103.its,annotated-25440000_25500000-14,LENA,Tsimane',38,1,0,0
e20170713_094014_013103.its,annotated-29040000_29100000-16,LENA,Tsimane',38,1,0,0
e20170713_094014_013103.its,annotated-30840000_30900000-17,LENA,Tsimane',38,1,0,0
e20170713_094014_013103.its,annotated-36240000_36300000-20,LENA,Tsimane',38,0,0,1
e20170713_094014_013103.its,annotated-38040000_38100000-21,LENA,Tsimane',38,1,0,1
e20170713_094014_013103.its,annotated-43440000_43500000-24,LENA,Tsimane',38,0,0,1
e20170713_094014_013103.its,annotated-9240000_9300000-5,LENA,Tsimane',38,0.5,0,1
e20170714_181600_009456.its,annotated-16440000_16500000-9,LENA,Tsimane',53,1,0,0
e20170714_181600_009456.its,annotated-20040000_20100000-11,LENA,Tsimane',53,0.5,0,1
e20170714_181600_009456.its,annotated-2040000_2100000-1,LENA,Tsimane',53,1,0,0
e20170714_181600_009456.its,annotated-21840000_21900000-12,LENA,Tsimane',53,0,1,0
e20170714_181600_009456.its,annotated-29040000_29100000-16,LENA,Tsimane',53,1,0,0
e20170714_181600_009456.its,annotated-36240000_36300000-20,LENA,Tsimane',53,1,0,0
e20170714_181600_009456.its,annotated-39840000_39900000-22,LENA,Tsimane',53,1,0.25,0
e20170714_182140_013097.its,annotated-11040000_11100000-6,LENA,Tsimane',58,1,0,0
e20170714_182140_013097.its,annotated-12840000_12900000-7,LENA,Tsimane',58,0,0,1
e20170714_182140_013097.its,annotated-14640000_14700000-8,LENA,Tsimane',58,1,0,0.5
e20170714_182140_013097.its,annotated-16440000_16500000-9,LENA,Tsimane',58,0,0,1
e20170714_182140_013097.its,annotated-18240000_18300000-10,LENA,Tsimane',58,1,0,0.5
e20170714_182140_013097.its,annotated-20040000_20100000-11,LENA,Tsimane',58,1,0,0
e20170714_182140_013097.its,annotated-2040000_2100000-1,LENA,Tsimane',58,1,0,0.6
e20170714_182140_013097.its,annotated-21840000_21900000-12,LENA,Tsimane',58,1,0,0.5
e20170714_182140_013097.its,annotated-23640000_23700000-13,LENA,Tsimane',58,0.3333333333333333,0.3333333333333333,0.3333333333333333
e20170714_182140_013097.its,annotated-25440000_25500000-14,LENA,Tsimane',58,1,0,0
e20170714_182140_013097.its,annotated-27240000_27300000-15,LENA,Tsimane',58,0.5,0,0.5
e20170714_182140_013097.its,annotated-32640000_32700000-18,LENA,Tsimane',58,1,0,1
e20170714_182140_013097.its,annotated-34440000_34500000-19,LENA,Tsimane',58,1,0,0
e20170714_182140_013097.its,annotated-36240000_36300000-20,LENA,Tsimane',58,1,0.6666666666666666,0
e20170714_182140_013097.its,annotated-38040000_38100000-21,LENA,Tsimane',58,0,1,1
e20170714_182140_013097.its,annotated-39840000_39900000-22,LENA,Tsimane',58,0,0,1
e20170714_182140_013097.its,annotated-7440000_7500000-4,LENA,Tsimane',58,1,0,0.5
e20170714_182445_013098.its,annotated-14640000_14700000-8,LENA,Tsimane',23,1,0,0
e20170714_182445_013098.its,annotated-16440000_16500000-9,LENA,Tsimane',23,0,0,1
e20170714_182445_013098.its,annotated-18240000_18300000-10,LENA,Tsimane',23,0.5,0,0.5
e20170714_182445_013098.its,annotated-20040000_20100000-11,LENA,Tsimane',23,0,0,1
e20170714_182445_013098.its,annotated-2040000_2100000-1,LENA,Tsimane',23,0.5,0,1
e20170714_182445_013098.its,annotated-21840000_21900000-12,LENA,Tsimane',23,1,0.5,0
e20170714_182445_013098.its,annotated-23640000_23700000-13,LENA,Tsimane',23,0,1,1
e20170714_182445_013098.its,annotated-25440000_25500000-14,LENA,Tsimane',23,1,0,0
e20170714_182445_013098.its,annotated-27240000_27300000-15,LENA,Tsimane',23,0,1,0.6666666666666666
e20170714_182445_013098.its,annotated-30840000_30900000-17,LENA,Tsimane',23,0,0,1
e20170714_182445_013098.its,annotated-34440000_34500000-19,LENA,Tsimane',23,1,0,0
e20170714_182445_013098.its,annotated-36240000_36300000-20,LENA,Tsimane',23,1,0,0
e20170714_182445_013098.its,annotated-38040000_38100000-21,LENA,Tsimane',23,0.6666666666666666,0,0.3333333333333333
e20170714_182445_013098.its,annotated-3840000_3900000-2,LENA,Tsimane',23,1,0,0
e20170714_182445_013098.its,annotated-41640000_41700000-23,LENA,Tsimane',23,0.5,0,0.5
e20170714_182735_013104.its,annotated-11040000_11100000-6,LENA,Tsimane',30,0.5,0,0.5
e20170714_182735_013104.its,annotated-12840000_12900000-7,LENA,Tsimane',30,0.75,0,0.5
e20170714_182735_013104.its,annotated-16440000_16500000-9,LENA,Tsimane',30,0.6666666666666666,0,0.3333333333333333
e20170714_182735_013104.its,annotated-2040000_2100000-1,LENA,Tsimane',30,1,0,1
e20170714_182735_013104.its,annotated-21840000_21900000-12,LENA,Tsimane',30,0,0,1
e20170714_182735_013104.its,annotated-23640000_23700000-13,LENA,Tsimane',30,0.3333333333333333,0,1
e20170714_182735_013104.its,annotated-25440000_25500000-14,LENA,Tsimane',30,1,0,0
e20170714_182735_013104.its,annotated-27240000_27300000-15,LENA,Tsimane',30,1,0,0
e20170714_182735_013104.its,annotated-29040000_29100000-16,LENA,Tsimane',30,1,0,0
e20170714_182735_013104.its,annotated-30840000_30900000-17,LENA,Tsimane',30,1,0,0
e20170714_182735_013104.its,annotated-34440000_34500000-19,LENA,Tsimane',30,0,0,1
e20170714_182735_013104.its,annotated-3840000_3900000-2,LENA,Tsimane',30,0.6666666666666666,0,0.3333333333333333
e20170714_182735_013104.its,annotated-7440000_7500000-4,LENA,Tsimane',30,1,0,0
e20170714_183036_013099.its,annotated-14640000_14700000-8,LENA,Tsimane',19,1,0,0.3333333333333333
e20170714_183036_013099.its,annotated-20040000_20100000-11,LENA,Tsimane',19,1,0,0
e20170714_183036_013099.its,annotated-2040000_2100000-1,LENA,Tsimane',19,0.5,0,1
e20170714_183036_013099.its,annotated-21840000_21900000-12,LENA,Tsimane',19,1,0,0
e20170714_183036_013099.its,annotated-23640000_23700000-13,LENA,Tsimane',19,0,0,1
e20170714_183036_013099.its,annotated-25440000_25500000-14,LENA,Tsimane',19,0.8,0,0.2
e20170714_183036_013099.its,annotated-27240000_27300000-15,LENA,Tsimane',19,1,0,0
e20170714_183036_013099.its,annotated-30840000_30900000-17,LENA,Tsimane',19,0.5,0,0.5
e20170714_183036_013099.its,annotated-34440000_34500000-19,LENA,Tsimane',19,0,0,1
e20170714_183036_013099.its,annotated-3840000_3900000-2,LENA,Tsimane',19,0.6666666666666666,0,0.3333333333333333
e20170714_183036_013099.its,annotated-5640000_5700000-3,LENA,Tsimane',19,1,0,0
e20170714_183036_013099.its,annotated-9240000_9300000-5,LENA,Tsimane',19,1,0,0
e20170714_183253_013101.its,annotated-11040000_11100000-6,LENA,Tsimane',36,0,0,1
e20170714_183253_013101.its,annotated-18240000_18300000-10,LENA,Tsimane',36,1,1,0
e20170714_183253_013101.its,annotated-2040000_2100000-1,LENA,Tsimane',36,0.5,0,0.5
e20170714_183253_013101.its,annotated-21840000_21900000-12,LENA,Tsimane',36,1,0,0
e20170714_183253_013101.its,annotated-23640000_23700000-13,LENA,Tsimane',36,0.3333333333333333,0,0.6666666666666666
